Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,
FDN49,NA,Regular,0.12,Breakfast,41,OUT027,1985,Medium,Tier 3,Supermarket Type3,
DRG11,6.385,Low Fat,0.08,Hard Drinks,107,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCA18,10.1,Low Fat,0.06,Household,117,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDM36,11.65,Regular,0.06,Baking Goods,172,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDW32,18.35,Regular,0.09,Fruits and Vegetables,86,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCQ18,15.75,Low Fat,0.23,Household,99,OUT010,1998,NA,Tier 3,Grocery Store,
FDX14,NA,Low Fat,0.07,Dairy,76,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDD46,6.035,Low Fat,0.14,Snack Foods,152,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDI34,NA,Regular,0.15,Snack Foods,232,OUT019,1985,Small,Tier 1,Grocery Store,
NCJ17,7.68,Low Fat,0.15,Health and Hygiene,85,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDB52,17.75,Low Fat,0.03,Dairy,257,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDV55,17.75,Low Fat,0.06,Fruits and Vegetables,144,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDC57,20.1,Regular,0.05,Fruits and Vegetables,192,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDB29,16.7,Regular,0.05,Frozen Foods,115,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCO43,5.5,Low Fat,0.05,Others,100,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDG44,6.13,Low Fat,0.10,Fruits and Vegetables,53,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDJ34,11.8,Regular,0.09,Snack Foods,126,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDH40,11.6,Regular,0.08,Frozen Foods,82,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCD07,NA,Low Fat,0.06,Household,112,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDB41,19,Regular,0.10,Frozen Foods,46,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDH47,13.5,Regular,0.13,Starchy Foods,96,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRK37,5,low fat,0.04,Soft Drinks,189,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDM25,NA,Regular,0.11,Breakfast,177,OUT019,1985,Small,Tier 1,Grocery Store,
NCX06,17.6,Low Fat,0.02,Household,182,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCS05,11.5,Low Fat,0.02,Health and Hygiene,133,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDS39,6.895,Low Fat,0.02,Meat,142,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC47,NA,Low Fat,0.12,Snack Foods,227,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDG20,15.5,Regular,0.13,Fruits and Vegetables,178,OUT013,1987,High,Tier 3,Supermarket Type1,
DRL23,18.35,Low Fat,0.02,Hard Drinks,106,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDY33,14.5,Regular,0.10,Snack Foods,158,OUT013,1987,High,Tier 3,Supermarket Type1,
NCH18,9.3,Low Fat,0.04,Household,244,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX47,6.55,Regular,0.03,Breads,155,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCB06,17.6,Low Fat,0.08,Health and Hygiene,159,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDP36,10.395,Regular,0.00,Baking Goods,50,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDW44,9.5,Regular,0.04,Fruits and Vegetables,172,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCU41,18.85,Low Fat,0.05,Health and Hygiene,192,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCS17,18.6,Low Fat,0.08,Health and Hygiene,96,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDD46,6.035,Low Fat,0.14,Snack Foods,156,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE45,12.1,Low Fat,0.04,Fruits and Vegetables,178,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDI09,20.75,Regular,0.13,Seafood,239,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCJ54,9.895,Low Fat,0.10,Household,234,OUT010,1998,NA,Tier 3,Grocery Store,
NCA29,10.5,Low Fat,0.03,Household,172,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCN41,NA,Low Fat,0.05,Health and Hygiene,123,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDY34,10.5,Regular,0.01,Snack Foods,164,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCG55,16.25,Low Fat,0.04,Household,116,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRM49,6.11,Regular,0.15,Soft Drinks,44,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCB42,11.8,Low Fat,0.01,Health and Hygiene,115,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDE58,18.5,Low Fat,0.05,Snack Foods,117,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRJ25,14.6,Low Fat,0.15,Soft Drinks,51,OUT013,1987,High,Tier 3,Supermarket Type1,
FDS47,16.75,Low Fat,0.22,Breads,87,OUT010,1998,NA,Tier 3,Grocery Store,
FDY21,15.1,Low Fat,0.17,Snack Foods,198,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCI54,15.2,Low Fat,0.03,Household,111,OUT013,1987,High,Tier 3,Supermarket Type1,
FDO24,11.1,Low Fat,0.18,Baking Goods,158,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDY43,14.85,Low Fat,0.10,Fruits and Vegetables,169,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDF35,15,Low Fat,0.15,Starchy Foods,107,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCP29,NA,Low Fat,0.20,Health and Hygiene,64,OUT019,1985,Small,Tier 1,Grocery Store,
FDN28,NA,Regular,0.03,Frozen Foods,102,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDJ50,8.645,Low Fat,0.02,Canned,52,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDQ14,NA,Low Fat,0.06,Dairy,151,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDC37,15.5,Low Fat,0.03,Baking Goods,108,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDN08,7.72,Regular,0.09,Fruits and Vegetables,119,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDD04,16,Low Fat,0.00,Dairy,142,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDW34,9.6,Low Fat,0.04,Snack Foods,244,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDP04,15.35,Low Fat,0.01,Frozen Foods,65,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCG07,12.3,Low Fat,0.05,Household,188,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCN14,19.1,Low Fat,0.09,Others,184,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDJ16,9.195,Low Fat,0.12,Frozen Foods,58,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCM42,6.13,Low Fat,0.03,Household,109,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCF19,13,Low Fat,0.04,Household,50,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDY21,15.1,Low Fat,0.17,Snack Foods,197,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDY19,19.75,Low Fat,0.04,Fruits and Vegetables,116,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDV09,12.1,Low Fat,0.02,Snack Foods,150,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDA28,16.1,Regular,0.00,Frozen Foods,126,OUT013,1987,High,Tier 3,Supermarket Type1,
FDC38,15.7,Low Fat,0.12,Canned,133,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDL28,10,Regular,0.06,Frozen Foods,230,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCH43,8.42,Low Fat,0.07,Household,217,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCN53,5.175,Low Fat,0.03,Health and Hygiene,34,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCW05,20.25,Low Fat,0.15,Health and Hygiene,108,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCO30,19.5,Low Fat,0.02,Household,186,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDT04,NA,Low Fat,0.19,Frozen Foods,38,OUT019,1985,Small,Tier 1,Grocery Store,
FDB27,7.575,Low Fat,0.06,Dairy,196,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCK07,10.65,Low Fat,0.05,Others,166,OUT013,1987,High,Tier 3,Supermarket Type1,
NCA53,11.395,Low Fat,0.00,Health and Hygiene,49,OUT013,1987,High,Tier 3,Supermarket Type1,
FDB33,17.75,Low Fat,0.01,Fruits and Vegetables,160,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDU37,9.5,Regular,0.11,Canned,79,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR13,9.895,Regular,0.03,Canned,115,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE45,12.1,Low Fat,0.04,Fruits and Vegetables,178,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDV37,13,Regular,0.08,Canned,196,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDX44,NA,Low Fat,0.08,Fruits and Vegetables,90,OUT019,1985,Small,Tier 1,Grocery Store,
NCL06,14.65,Low Fat,0.07,Household,261,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDJ28,12.3,Low Fat,0.02,Frozen Foods,190,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX55,15.1,Low Fat,0.06,Fruits and Vegetables,219,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCK17,11,Low Fat,0.04,Health and Hygiene,41,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDH52,9.42,Regular,0.04,Frozen Foods,62,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDN13,NA,Low Fat,0.15,Breakfast,101,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK44,16.6,Low Fat,0.12,Fruits and Vegetables,172,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDU16,19.25,Regular,0.06,Frozen Foods,82,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDZ07,15.1,Regular,0.09,Fruits and Vegetables,60,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCN06,NA,Low Fat,0.12,Household,165,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDH02,7.27,Regular,0.03,Canned,91,OUT010,1998,NA,Tier 3,Grocery Store,
NCW18,15.1,Low Fat,0.00,Household,236,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDH57,10.895,Low Fat,0.04,Fruits and Vegetables,130,OUT013,1987,High,Tier 3,Supermarket Type1,
FDV35,19.5,Low Fat,0.13,Breads,155,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCU29,7.685,Low Fat,0.03,Health and Hygiene,145,OUT013,1987,High,Tier 3,Supermarket Type1,
NCP02,7.105,low fat,0.04,Household,59,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDN44,13.15,Low Fat,0.02,Fruits and Vegetables,161,OUT013,1987,High,Tier 3,Supermarket Type1,
FDX03,15.85,Regular,0.06,Meat,44,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDR11,10.5,Regular,0.24,Breads,159,OUT010,1998,NA,Tier 3,Grocery Store,
FDA36,5.985,Low Fat,0.01,Baking Goods,184,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDP58,NA,Low Fat,0.13,Snack Foods,217,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDH31,12,Regular,0.02,Meat,98,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDH34,8.63,Low Fat,0.03,Snack Foods,187,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDS13,6.465,Low Fat,0.12,Canned,264,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDT01,13.65,Regular,0.00,Canned,213,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDY09,15.6,Low Fat,0.03,Snack Foods,176,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDV33,NA,Regular,0.03,Snack Foods,258,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCW29,14,Low Fat,0.05,Health and Hygiene,128,OUT010,1998,NA,Tier 3,Grocery Store,
NCN17,11,Low Fat,0.00,Health and Hygiene,101,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX01,10.1,Low Fat,0.02,Canned,118,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDL03,19.25,Regular,0.00,Meat,196,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRL59,16.75,Low Fat,0.02,Hard Drinks,55,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRM11,NA,Low Fat,0.07,Hard Drinks,262,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDA43,10.895,Low Fat,0.06,Fruits and Vegetables,197,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDZ56,16.25,low fat,0.04,Fruits and Vegetables,170,OUT010,1998,NA,Tier 3,Grocery Store,
FDI44,16.1,Low Fat,0.10,Fruits and Vegetables,78,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDB50,13,Low Fat,0.15,Canned,79,OUT013,1987,High,Tier 3,Supermarket Type1,
FDU15,NA,Regular,0.05,Meat,35,OUT019,1985,Small,Tier 1,Grocery Store,
NCJ19,NA,Low Fat,0.00,Others,57,OUT019,1985,Small,Tier 1,Grocery Store,
FDD48,10.395,Low Fat,0.03,Baking Goods,115,OUT013,1987,High,Tier 3,Supermarket Type1,
NCW42,18.2,Low Fat,0.06,Household,221,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDL24,10.3,Regular,0.03,Baking Goods,174,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCB30,14.6,Low Fat,0.03,Household,198,OUT013,1987,High,Tier 3,Supermarket Type1,
FDK25,11.6,Regular,0.16,Breakfast,169,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW28,18.25,Low Fat,0.09,Frozen Foods,196,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDD47,7.6,Regular,0.14,Starchy Foods,171,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDK16,NA,Low Fat,0.20,Frozen Foods,93,OUT019,1985,Small,Tier 1,Grocery Store,
FDW37,19.2,Low Fat,0.12,Canned,92,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDA48,12.1,Low Fat,0.11,Baking Goods,221,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDA14,16.1,Low Fat,0.07,Dairy,146,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDV15,10.3,Low Fat,0.15,Meat,102,OUT013,1987,High,Tier 3,Supermarket Type1,
FDN22,18.85,Regular,0.14,Snack Foods,252,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCD55,14,Low Fat,0.02,Household,41,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDY43,14.85,Low Fat,0.10,Fruits and Vegetables,168,OUT013,1987,High,Tier 3,Supermarket Type1,
NCU05,11.8,Low Fat,0.06,Health and Hygiene,80,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDF10,15.5,Regular,0.16,Snack Foods,148,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDR39,20.35,Low Fat,0.08,Meat,184,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDG40,13.65,Low Fat,0.04,Frozen Foods,33,OUT013,1987,High,Tier 3,Supermarket Type1,
FDZ28,NA,Regular,0.09,Frozen Foods,127,OUT019,1985,Small,Tier 1,Grocery Store,
FDE02,8.71,Low Fat,0.12,Canned,94,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDU60,20,Regular,0.06,Baking Goods,169,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDM21,20.2,Low Fat,0.06,Snack Foods,257,OUT013,1987,High,Tier 3,Supermarket Type1,
FDV52,NA,Regular,0.21,Frozen Foods,117,OUT019,1985,Small,Tier 1,Grocery Store,
NCW06,16.2,Low Fat,0.05,Household,192,OUT013,1987,High,Tier 3,Supermarket Type1,
FDX36,9.695,Regular,0.13,Baking Goods,225,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDT35,NA,Regular,0.08,Breads,169,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCL19,15.35,Low Fat,0.00,Others,143,OUT010,1998,NA,Tier 3,Grocery Store,
NCD31,12.1,Low Fat,0.02,Household,165,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDE53,NA,Low Fat,0.05,Frozen Foods,107,OUT019,1985,Small,Tier 1,Grocery Store,
FDW58,NA,Low Fat,0.01,Snack Foods,106,OUT019,1985,Small,Tier 1,Grocery Store,
DRF48,5.73,Low Fat,0.00,Soft Drinks,187,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDW57,8.31,Regular,0.12,Snack Foods,176,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRH13,8.575,Low Fat,0.02,Soft Drinks,107,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDT33,7.81,Regular,0.03,Snack Foods,168,OUT013,1987,High,Tier 3,Supermarket Type1,
DRK47,NA,Low Fat,0.06,Hard Drinks,226,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDY22,16.5,Regular,0.27,Snack Foods,144,OUT010,1998,NA,Tier 3,Grocery Store,
FDC35,NA,Low Fat,0.22,Starchy Foods,209,OUT019,1985,Small,Tier 1,Grocery Store,
FDO03,10.395,Regular,0.00,Meat,228,OUT013,1987,High,Tier 3,Supermarket Type1,
FDF24,15.5,Regular,0.03,Baking Goods,81,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDF56,16.7,Regular,0.12,Fruits and Vegetables,180,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDD28,10.695,Low Fat,0.05,Frozen Foods,57,OUT013,1987,High,Tier 3,Supermarket Type1,
FDG53,NA,Low Fat,0.05,Frozen Foods,142,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDO27,NA,Regular,0.31,Meat,98,OUT019,1985,Small,Tier 1,Grocery Store,
NCF54,18,Low Fat,0.05,Household,172,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDC20,NA,Low Fat,0.02,Fruits and Vegetables,55,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU10,10.1,Regular,0.05,Snack Foods,38,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRA24,19.35,Regular,0.04,Soft Drinks,164,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDA02,14,Regular,0.05,Dairy,145,OUT010,1998,NA,Tier 3,Grocery Store,
FDG10,6.63,Regular,0.01,Snack Foods,57,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDW39,6.69,Regular,0.00,Meat,178,OUT010,1998,NA,Tier 3,Grocery Store,
FDP04,NA,Low Fat,0.02,Frozen Foods,64,OUT019,1985,Small,Tier 1,Grocery Store,
NCM55,15.6,Low Fat,0.07,Others,185,OUT013,1987,High,Tier 3,Supermarket Type1,
FDG47,12.8,Low Fat,0.07,Starchy Foods,261,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCU41,18.85,Low Fat,0.05,Health and Hygiene,192,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCK31,10.895,Low Fat,0.03,Others,52,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDZ46,7.485,Low Fat,0.07,Snack Foods,110,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDU13,NA,Low Fat,0.19,Canned,149,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCF19,13,Low Fat,0.04,Household,50,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCJ43,6.635,Low Fat,0.03,Household,173,OUT013,1987,High,Tier 3,Supermarket Type1,
NCJ05,18.7,Low Fat,0.05,Health and Hygiene,154,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDS04,NA,Regular,0.15,Frozen Foods,139,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDX28,6.325,Low Fat,0.00,Frozen Foods,100,OUT010,1998,NA,Tier 3,Grocery Store,
FDB41,NA,Regular,0.10,Frozen Foods,46,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDG53,10,Low Fat,0.05,Frozen Foods,142,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDL15,17.85,Low Fat,0.08,Meat,153,OUT010,1998,NA,Tier 3,Grocery Store,
FDQ08,15.7,Regular,0.02,Fruits and Vegetables,61,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRN36,15.2,Low Fat,0.05,Soft Drinks,97,OUT013,1987,High,Tier 3,Supermarket Type1,
FDI46,9.5,Low Fat,0.07,Snack Foods,253,OUT013,1987,High,Tier 3,Supermarket Type1,
FDG16,NA,Low Fat,0.09,Frozen Foods,214,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDV32,7.785,Low Fat,0.09,Fruits and Vegetables,63,OUT013,1987,High,Tier 3,Supermarket Type1,
FDF44,7.17,Regular,0.10,Fruits and Vegetables,132,OUT010,1998,NA,Tier 3,Grocery Store,
FDK04,7.36,Low Fat,0.05,Frozen Foods,56,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCA41,16.75,Low Fat,0.03,Health and Hygiene,193,OUT013,1987,High,Tier 3,Supermarket Type1,
FDD51,11.15,Low Fat,0.12,Dairy,44,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCZ53,9.6,Low Fat,0.02,Health and Hygiene,189,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDP01,NA,Regular,0.06,Breakfast,152,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDY25,12,Low Fat,0.00,Canned,181,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDB17,13.15,Low Fat,0.04,Frozen Foods,180,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCV54,11.1,Low Fat,0.03,Household,119,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDJ32,10.695,Low Fat,0.06,Fruits and Vegetables,63,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDA37,7.81,Regular,0.06,Canned,125,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDG35,21.2,Regular,0.01,Starchy Foods,172,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCM05,6.825,Low Fat,0.06,Health and Hygiene,266,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDG45,8.1,Low Fat,0.00,Fruits and Vegetables,213,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDH28,15.85,Regular,0.11,Frozen Foods,39,OUT013,1987,High,Tier 3,Supermarket Type1,
NCE18,10,Low Fat,0.00,Household,249,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDH38,6.425,Low Fat,0.01,Canned,118,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDR56,15.5,Regular,0.10,Fruits and Vegetables,198,OUT013,1987,High,Tier 3,Supermarket Type1,
FDH17,NA,Regular,0.02,Frozen Foods,96,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDD39,16.7,Low Fat,0.07,Dairy,218,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDB41,19,Regular,0.10,Frozen Foods,48,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCR53,12.15,Low Fat,0.15,Health and Hygiene,224,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDX46,12.3,Regular,0.06,Snack Foods,58,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDV28,16.1,Regular,0.00,Frozen Foods,36,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDA08,11.85,Regular,0.05,Fruits and Vegetables,165,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDH45,15.1,Regular,0.11,Fruits and Vegetables,42,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCS38,8.6,Low Fat,0.15,Household,114,OUT010,1998,NA,Tier 3,Grocery Store,
FDD40,20.25,Regular,0.02,Dairy,194,OUT010,1998,NA,Tier 3,Grocery Store,
DRM59,5.88,Low Fat,0.00,Hard Drinks,153,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCJ43,6.635,Low Fat,0.00,Household,175,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCN29,15.2,Low Fat,0.00,Health and Hygiene,50,OUT013,1987,High,Tier 3,Supermarket Type1,
NCC19,6.57,Low Fat,0.10,Household,192,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDR56,15.5,Regular,0.10,Fruits and Vegetables,197,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDZ43,11,Regular,0.06,Fruits and Vegetables,242,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDJ32,10.695,Low Fat,0.10,Fruits and Vegetables,62,OUT010,1998,NA,Tier 3,Grocery Store,
DRH03,17.25,Low Fat,0.04,Dairy,92,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCZ54,14.65,Low Fat,0.08,Household,164,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE26,9.3,Low Fat,0.09,Canned,146,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDS03,7.825,Low Fat,0.08,Meat,64,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRZ24,NA,Low Fat,0.14,Soft Drinks,120,OUT019,1985,Small,Tier 1,Grocery Store,
FDO48,NA,Regular,0.03,Baking Goods,220,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDW39,6.69,Regular,0.04,Meat,175,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCK05,20.1,Low Fat,0.00,Health and Hygiene,63,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCK30,14.85,low fat,0.06,Household,254,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDT27,11.395,Regular,0.07,Meat,235,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDS08,NA,Low Fat,0.10,Fruits and Vegetables,178,OUT019,1985,Small,Tier 1,Grocery Store,
NCJ19,18.6,Low Fat,0.12,Others,56,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDC58,10.195,Low Fat,0.00,Snack Foods,43,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRE37,13.5,Low Fat,0.09,Soft Drinks,188,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW02,4.805,Regular,0.04,Dairy,127,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDJ02,17.2,Regular,0.04,Canned,149,OUT010,1998,NA,Tier 3,Grocery Store,
FDX09,9,low fat,0.07,Snack Foods,177,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDT31,19.75,Low Fat,0.02,Fruits and Vegetables,188,OUT010,1998,NA,Tier 3,Grocery Store,
FDI24,10.3,Low Fat,0.08,Baking Goods,178,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDY09,15.6,Low Fat,0.00,Snack Foods,176,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDV28,16.1,Regular,0.16,Frozen Foods,35,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRM47,9.3,Low Fat,0.04,Hard Drinks,192,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDT52,NA,Regular,0.08,Frozen Foods,247,OUT019,1985,Small,Tier 1,Grocery Store,
FDI48,11.85,Regular,0.06,Baking Goods,53,OUT018,2009,Medium,Tier 3,Supermarket Type2,
